822,530029
4757,950195
239,300003
30836,369141
743,880005
664,950012
540,710022
1021,020020
486,230011
420,000000
3941,709961
5854,109863
370,459991
6569,600098
549,940002
10849,480469
1636,329956
1647,939941
2502,729980
6348,129883
3313,879883
572,039978
1872,479980
113322,960938
6343,180176
4442,339844
414,359985
730,359985
142,669998
380,059998
16609,259766
4063,909912
4904,240234
6332,439941
9466,059570
15825,080078
934,969971
1064,010010
2493,570068
4307,620117
2659,199951
461,799988
77283,343750
2796,850098
261,940002
469,429993
72,330002
3288,580078
205,660004
4897,279785
315,299988
512,659973
769,440002
1086,160034
4380,540039
1103,920044
684,729980
2108,010010
177,460007
4673,970215
194,429993
306,290009
103,250000
601,510010
23797,400391
204,190002
325,489990
2093,199951
2165,020020
352,630005
735,830017
4450,520020
6878,020020
1657,040039
78,750000
8500,929688
333,820007
100,919998
